@relation SomeContent

@attribute race {Other,Amer-Indian-Eskimo,White,Black,Asian-Pac-Islander}
@attribute age numeric
@attribute capital-loss numeric
@attribute relationship {Other-relative,Not-in-family,Wife,Husband,Unmarried,Own-child}
@attribute native-country {Hong,South,Japan,Jamaica,Cuba,Canada,Ireland,China,Peru,Columbia,Trinadad&Tobago,Taiwan,Yugoslavia,Guatemala,El-Salvador,Ecuador,Puerto-Rico,Laos,Portugal,United-States,Germany,Hungary,Italy,Dominican-Republic,Outlying-US(Guam-USVI-etc),Nicaragua,Thailand,India,Scotland,Vietnam,Cambodia,Philippines,England,Holand-Netherlands,Iran,Haiti,Greece,Honduras,Mexico,Poland,France}
@attribute occupation {Sales,Machine-op-inspct,Craft-repair,Protective-serv,Armed-Forces,Prof-specialty,Transport-moving,Exec-managerial,Farming-fishing,Adm-clerical,Priv-house-serv,Tech-support,Other-service,Handlers-cleaners}
@attribute hours-per-week numeric
@attribute income {>50K,<=50K}
@attribute fnlwgt numeric
@attribute capital-gain numeric
@attribute sex {Male,Female}
@attribute marital-status {Separated,Divorced,Married-spouse-absent,Married-civ-spouse,Never-married,Widowed,Married-AF-spouse}
@attribute education {Assoc-voc,Some-college,Preschool,Bachelors,Prof-school,Doctorate,5th-6th,Masters,HS-grad,1st-4th,12th,Assoc-acdm,9th,11th,10th,7th-8th}
@attribute education-num numeric
@attribute workclass {Without-pay,Never-worked,Local-gov,Self-emp-not-inc,Private,State-gov,Self-emp-inc,Federal-gov}

@data
White,52,0,Own-child,United-States,Craft-repair,55,<=50K,124993,0,Male,Never-married,HS-grad,9,Private
White,26,0,Other-relative,United-States,Craft-repair,40,<=50K,262617,2597,Male,Never-married,HS-grad,9,Private
White,28,0,Not-in-family,United-States,Other-service,35,<=50K,54042,2463,Female,Never-married,Assoc-voc,11,Private
White,18,1602,Own-child,United-States,?,24,<=50K,214989,0,Female,Never-married,Some-college,10,?
White,51,0,Husband,United-States,Transport-moving,40,>50K,171409,0,Male,Married-civ-spouse,Some-college,10,Private
White,36,0,Unmarried,United-States,Craft-repair,40,<=50K,289190,0,Male,Divorced,HS-grad,9,Private
Black,19,0,Own-child,United-States,?,35,<=50K,252752,0,Male,Never-married,HS-grad,9,?
White,61,0,Husband,United-States,Transport-moving,50,>50K,143800,0,Male,Married-civ-spouse,10th,6,Private
White,53,0,Husband,United-States,Exec-managerial,70,>50K,202733,7688,Male,Married-civ-spouse,Masters,14,Local-gov
White,58,0,Husband,United-States,Prof-specialty,24,>50K,182062,0,Male,Married-civ-spouse,Doctorate,16,Self-emp-inc
Black,42,0,Other-relative,United-States,Other-service,40,<=50K,227466,0,Male,Never-married,HS-grad,9,Private
White,35,0,Own-child,United-States,Adm-clerical,40,<=50K,184117,0,Female,Never-married,Bachelors,13,Private
White,43,0,Husband,United-States,Exec-managerial,43,>50K,227065,0,Male,Married-civ-spouse,Masters,14,Private
White,25,1726,Own-child,United-States,Exec-managerial,60,<=50K,122489,0,Female,Never-married,Bachelors,13,Private
White,46,0,Wife,United-States,Machine-op-inspct,40,<=50K,184883,0,Female,Married-civ-spouse,9th,5,Private
White,20,0,Own-child,Canada,Other-service,12,<=50K,22966,0,Male,Never-married,Some-college,10,Private
White,73,0,Not-in-family,United-States,Other-service,10,<=50K,123160,0,Female,Widowed,10th,6,Private
Black,22,0,Unmarried,United-States,Prof-specialty,35,<=50K,177107,0,Female,Never-married,Assoc-voc,11,Private
White,24,0,Husband,United-States,Sales,40,<=50K,190143,0,Male,Married-civ-spouse,Bachelors,13,Private
White,17,0,Own-child,United-States,?,40,<=50K,103810,0,Male,Never-married,12th,8,?
White,32,0,Not-in-family,United-States,Prof-specialty,40,<=50K,71540,0,Male,Divorced,Some-college,10,Private
White,38,0,Own-child,United-States,?,12,<=50K,107479,0,Female,Never-married,9th,5,?
White,33,0,Not-in-family,United-States,Adm-clerical,38,<=50K,229716,0,Male,Divorced,HS-grad,9,Private
White,37,0,Husband,United-States,Craft-repair,35,<=50K,34378,0,Male,Married-civ-spouse,Some-college,10,Private
White,70,0,Not-in-family,United-States,Protective-serv,32,<=50K,642830,0,Female,Divorced,HS-grad,9,Private
White,29,0,Not-in-family,United-States,Craft-repair,50,<=50K,48895,0,Male,Never-married,HS-grad,9,Private
Asian-Pac-Islander,33,0,Husband,India,Prof-specialty,19,<=50K,200289,0,Male,Married-civ-spouse,Masters,14,State-gov
White,27,0,Not-in-family,United-States,Other-service,40,<=50K,321896,0,Male,Never-married,HS-grad,9,Private
White,25,0,Not-in-family,Mexico,Machine-op-inspct,40,<=50K,248990,0,Male,Never-married,5th-6th,3,Private
White,74,0,Not-in-family,Germany,Craft-repair,8,>50K,199136,15831,Male,Widowed,Bachelors,13,Self-emp-not-inc
White,55,0,Husband,United-States,Farming-fishing,45,>50K,349910,0,Male,Married-civ-spouse,HS-grad,9,Private
White,47,0,Husband,United-States,Craft-repair,40,>50K,148995,0,Male,Married-civ-spouse,HS-grad,9,Private
White,44,0,Not-in-family,United-States,Adm-clerical,40,<=50K,335248,0,Female,Divorced,Some-college,10,Private
White,32,0,Unmarried,United-States,Other-service,40,<=50K,185732,0,Female,Divorced,11th,7,Private
White,24,0,Husband,United-States,Craft-repair,45,<=50K,190290,0,Male,Married-civ-spouse,Assoc-voc,11,Private
White,29,0,Not-in-family,United-States,Craft-repair,60,<=50K,180758,0,Male,Never-married,Assoc-acdm,12,Private
White,19,0,Not-in-family,United-States,Adm-clerical,18,<=50K,63814,0,Female,Never-married,Some-college,10,Private
White,37,0,Unmarried,Mexico,Other-service,40,<=50K,217838,0,Female,Separated,5th-6th,3,Private
White,45,0,Husband,United-States,Prof-specialty,55,<=50K,109434,0,Male,Married-civ-spouse,Bachelors,13,Private
White,26,0,Own-child,United-States,Sales,40,<=50K,195327,0,Male,Never-married,HS-grad,9,Private
White,42,0,Not-in-family,?,Prof-specialty,50,<=50K,183765,0,Male,Never-married,Bachelors,13,Self-emp-not-inc
Black,58,0,Husband,United-States,Sales,40,<=50K,158002,0,Male,Married-civ-spouse,Some-college,10,Private
Asian-Pac-Islander,28,0,Unmarried,?,Adm-clerical,30,<=50K,226891,0,Female,Never-married,Some-college,10,Private
White,28,0,Husband,United-States,Protective-serv,40,<=50K,216965,0,Male,Married-civ-spouse,Some-college,10,Local-gov
Asian-Pac-Islander,39,0,Husband,Philippines,Prof-specialty,48,>50K,271521,0,Male,Married-civ-spouse,Bachelors,13,Private
White,47,0,Not-in-family,United-States,Machine-op-inspct,40,<=50K,167159,4650,Male,Divorced,HS-grad,9,Private
White,39,0,Husband,United-States,Exec-managerial,50,>50K,204501,0,Male,Married-civ-spouse,Masters,14,Private
White,25,0,Husband,United-States,Craft-repair,50,>50K,259299,3103,Male,Married-civ-spouse,Some-college,10,Self-emp-not-inc
White,22,0,Wife,United-States,Other-service,40,>50K,228306,0,Female,Married-AF-spouse,Some-college,10,Private
White,33,0,Husband,United-States,Sales,45,<=50K,236379,0,Male,Married-civ-spouse,Bachelors,13,Private
White,36,0,Husband,United-States,Sales,60,>50K,186035,0,Male,Married-civ-spouse,Some-college,10,Self-emp-inc
White,40,0,Other-relative,United-States,Prof-specialty,40,<=50K,346847,0,Female,Separated,Assoc-voc,11,Private
White,33,0,Not-in-family,United-States,Machine-op-inspct,40,<=50K,241885,0,Male,Separated,Some-college,10,Private
White,17,0,Own-child,United-States,Handlers-cleaners,17,<=50K,226980,0,Male,Never-married,12th,8,Private
White,36,0,Husband,United-States,Tech-support,50,<=50K,107302,0,Male,Married-civ-spouse,HS-grad,9,Private
White,39,0,Husband,United-States,Prof-specialty,40,>50K,77005,99999,Male,Married-civ-spouse,Masters,14,Private
White,29,0,Husband,United-States,Craft-repair,50,>50K,270421,0,Male,Married-civ-spouse,Bachelors,13,Private
White,42,0,Husband,United-States,Prof-specialty,48,<=50K,89073,0,Male,Married-civ-spouse,HS-grad,9,Private
White,22,0,Own-child,United-States,Handlers-cleaners,40,<=50K,378104,0,Male,Never-married,HS-grad,9,Private
White,19,0,Not-in-family,United-States,Other-service,40,<=50K,415354,0,Female,Divorced,10th,6,Private
White,19,1602,Own-child,United-States,Other-service,24,<=50K,167140,0,Male,Never-married,Some-college,10,Private
White,48,0,Husband,United-States,Sales,40,>50K,235646,3103,Male,Married-civ-spouse,Some-college,10,Private
White,36,0,Husband,United-States,Machine-op-inspct,40,<=50K,146311,0,Male,Married-civ-spouse,9th,5,Private
White,20,0,Own-child,United-States,Adm-clerical,40,<=50K,333843,0,Female,Never-married,HS-grad,9,Private
Black,42,0,Unmarried,?,Adm-clerical,35,<=50K,157367,0,Female,Never-married,HS-grad,9,Private
White,31,0,Husband,United-States,Adm-clerical,38,<=50K,286911,0,Male,Married-civ-spouse,Some-college,10,State-gov
Black,47,0,Husband,United-States,Protective-serv,50,>50K,227244,0,Male,Married-civ-spouse,Bachelors,13,Federal-gov
White,43,0,Husband,United-States,Prof-specialty,60,<=50K,244945,0,Male,Married-civ-spouse,Bachelors,13,Self-emp-inc
White,69,0,Husband,United-States,Prof-specialty,25,<=50K,71489,0,Male,Married-civ-spouse,Masters,14,Private
Black,21,0,Not-in-family,United-States,Handlers-cleaners,40,<=50K,285127,0,Female,Never-married,HS-grad,9,Private
White,36,0,Own-child,United-States,Sales,40,<=50K,279615,0,Female,Divorced,Bachelors,13,Private
White,46,0,Husband,United-States,Craft-repair,40,<=50K,145290,0,Male,Married-civ-spouse,Some-college,10,Private
White,23,0,Own-child,United-States,Craft-repair,40,<=50K,122272,0,Female,Never-married,HS-grad,9,Private
White,37,0,Unmarried,United-States,Tech-support,40,<=50K,356824,0,Female,Separated,HS-grad,9,Private
White,27,0,Own-child,United-States,Other-service,20,<=50K,109881,0,Female,Never-married,Bachelors,13,Private
White,23,0,Own-child,United-States,Sales,28,<=50K,82497,0,Female,Never-married,Some-college,10,Private
White,19,0,Own-child,United-States,Handlers-cleaners,40,<=50K,430471,0,Male,Never-married,11th,7,Private
White,47,0,Not-in-family,United-States,Adm-clerical,40,<=50K,218596,0,Female,Divorced,Assoc-voc,11,Local-gov
White,33,0,Own-child,United-States,Other-service,40,<=50K,205950,0,Male,Never-married,HS-grad,9,Private
White,45,0,Husband,United-States,Machine-op-inspct,84,>50K,20534,0,Male,Married-civ-spouse,Some-college,10,Private
White,50,0,Not-in-family,United-States,Machine-op-inspct,40,<=50K,344621,0,Female,Divorced,HS-grad,9,Private
White,36,0,Unmarried,United-States,?,25,<=50K,36635,0,Female,Never-married,Some-college,10,?
White,33,0,Not-in-family,United-States,Transport-moving,45,<=50K,204829,0,Male,Divorced,HS-grad,9,Private
White,37,0,Own-child,United-States,Adm-clerical,38,<=50K,189382,0,Female,Never-married,Assoc-voc,11,Private
White,25,0,Not-in-family,United-States,Prof-specialty,37,<=50K,231016,4650,Female,Never-married,Masters,14,Private
Amer-Indian-Eskimo,17,0,Own-child,United-States,Handlers-cleaners,20,<=50K,27415,0,Male,Never-married,11th,7,Private
White,60,0,Husband,United-States,Other-service,40,<=50K,202473,0,Male,Married-civ-spouse,Assoc-voc,11,Local-gov
White,43,0,Husband,United-States,Protective-serv,40,<=50K,159449,0,Male,Married-civ-spouse,Some-college,10,Local-gov
White,47,1974,Not-in-family,United-States,Exec-managerial,40,<=50K,133758,0,Female,Divorced,HS-grad,9,Private
White,32,0,Other-relative,Philippines,Adm-clerical,40,>50K,270335,0,Male,Married-civ-spouse,Bachelors,13,Private
White,38,0,Husband,United-States,Prof-specialty,60,>50K,100375,99999,Male,Married-civ-spouse,Prof-school,15,Private
White,27,0,Own-child,United-States,Craft-repair,40,<=50K,225142,0,Male,Never-married,Some-college,10,Private
White,67,0,Husband,United-States,Exec-managerial,55,<=50K,345236,0,Male,Married-civ-spouse,Bachelors,13,Self-emp-not-inc
White,28,0,Husband,United-States,Exec-managerial,50,<=50K,213276,0,Male,Married-civ-spouse,HS-grad,9,Private
White,27,0,Not-in-family,United-States,Prof-specialty,60,<=50K,271328,0,Male,Never-married,Bachelors,13,State-gov
Black,21,0,Own-child,United-States,Sales,20,<=50K,293968,0,Female,Married-spouse-absent,Some-college,10,Private
White,33,0,Own-child,United-States,?,40,<=50K,186824,0,Male,Never-married,Some-college,10,?
White,20,0,Own-child,United-States,?,40,<=50K,194096,0,Female,Never-married,Some-college,10,?
White,18,0,Own-child,United-States,Sales,49,<=50K,123856,0,Female,Never-married,11th,7,Private
Black,36,0,Unmarried,United-States,Other-service,32,<=50K,285865,0,Female,Separated,Assoc-acdm,12,Private
White,58,0,Husband,United-States,Prof-specialty,40,>50K,147428,0,Male,Married-civ-spouse,Masters,14,Local-gov
White,27,0,Own-child,United-States,Handlers-cleaners,40,<=50K,177072,0,Male,Never-married,HS-grad,9,Private
White,32,0,Own-child,United-States,Exec-managerial,40,>50K,317378,10520,Female,Never-married,Bachelors,13,Private
White,26,0,Not-in-family,United-States,Adm-clerical,40,<=50K,266639,0,Female,Never-married,Bachelors,13,Self-emp-inc
White,63,0,Husband,United-States,Craft-repair,30,<=50K,404547,0,Male,Married-civ-spouse,HS-grad,9,Self-emp-not-inc
White,74,0,Other-relative,United-States,Prof-specialty,40,<=50K,192413,0,Male,Divorced,Prof-school,15,Self-emp-not-inc
White,35,0,Husband,United-States,Craft-repair,43,<=50K,181382,0,Male,Married-civ-spouse,HS-grad,9,Private
White,51,0,Husband,United-States,Exec-managerial,84,>50K,392668,15024,Male,Married-civ-spouse,Doctorate,16,Private
White,29,0,Own-child,United-States,Sales,40,<=50K,351324,0,Female,Never-married,Bachelors,13,Private
White,43,0,Wife,United-States,Adm-clerical,40,<=50K,175669,0,Female,Married-civ-spouse,Some-college,10,Federal-gov
White,18,0,Own-child,United-States,Other-service,20,<=50K,125441,1055,Male,Never-married,11th,7,Private
White,58,0,Husband,United-States,?,24,<=50K,198478,0,Male,Married-civ-spouse,7th-8th,4,?
White,65,0,Husband,United-States,?,30,>50K,195733,0,Male,Married-civ-spouse,Some-college,10,?
White,32,0,Not-in-family,United-States,Prof-specialty,40,<=50K,235124,0,Male,Divorced,Assoc-voc,11,Private
White,59,0,Husband,United-States,Machine-op-inspct,40,<=50K,98361,0,Male,Married-civ-spouse,11th,7,Private
White,28,0,Not-in-family,United-States,Adm-clerical,40,<=50K,232782,0,Female,Never-married,Some-college,10,Private
White,25,0,Own-child,United-States,Craft-repair,40,<=50K,109532,0,Male,Never-married,12th,8,Private
White,35,0,Husband,United-States,Prof-specialty,40,<=50K,191628,0,Male,Married-civ-spouse,Some-college,10,Private
White,20,0,Own-child,United-States,Other-service,40,<=50K,162688,0,Male,Never-married,Assoc-voc,11,Private
White,47,0,Husband,United-States,Craft-repair,40,<=50K,84790,0,Male,Married-civ-spouse,Some-college,10,Private
Black,50,0,Not-in-family,United-States,Machine-op-inspct,40,<=50K,108926,0,Female,Divorced,Some-college,10,Private
Asian-Pac-Islander,58,0,Husband,Philippines,Adm-clerical,40,<=50K,136951,0,Male,Married-civ-spouse,Bachelors,13,Private
White,40,0,Husband,United-States,Craft-repair,40,<=50K,244945,0,Male,Married-civ-spouse,HS-grad,9,Private
White,57,0,Husband,United-States,Prof-specialty,40,<=50K,165881,0,Male,Married-civ-spouse,Prof-school,15,Self-emp-inc
Black,48,0,Unmarried,Haiti,Other-service,32,<=50K,169324,0,Female,Never-married,HS-grad,9,Private
Black,42,0,Wife,United-States,Exec-managerial,50,>50K,254773,0,Female,Married-civ-spouse,Bachelors,13,Private
White,19,0,Unmarried,Guatemala,Transport-moving,25,<=50K,104830,0,Male,Never-married,7th-8th,4,Private
White,36,0,Husband,United-States,Craft-repair,55,>50K,148581,0,Male,Married-civ-spouse,HS-grad,9,Private
White,18,0,Not-in-family,United-States,Adm-clerical,25,<=50K,27620,0,Female,Never-married,HS-grad,9,Private
White,55,0,Husband,United-States,Craft-repair,40,>50K,199067,0,Male,Married-civ-spouse,HS-grad,9,Private
White,61,0,Husband,United-States,Craft-repair,40,<=50K,273803,0,Male,Married-civ-spouse,HS-grad,9,Private
White,39,0,Unmarried,United-States,Sales,60,<=50K,103710,0,Female,Never-married,HS-grad,9,Private
White,28,0,Not-in-family,United-States,Craft-repair,40,<=50K,107236,0,Male,Married-civ-spouse,12th,8,Self-emp-not-inc
White,28,0,Unmarried,United-States,Adm-clerical,40,<=50K,179759,0,Female,Married-spouse-absent,Some-college,10,Local-gov
White,31,0,Own-child,United-States,Sales,40,<=50K,128016,0,Female,Never-married,Bachelors,13,Local-gov
White,25,0,Husband,United-States,Craft-repair,60,>50K,176729,0,Male,Married-civ-spouse,Bachelors,13,Private
White,50,0,Own-child,United-States,?,20,<=50K,346014,0,Female,Separated,7th-8th,4,?
White,33,0,Unmarried,United-States,Exec-managerial,40,<=50K,268451,0,Female,Divorced,Some-college,10,Private
White,47,1977,Husband,United-States,Prof-specialty,50,>50K,213668,0,Male,Married-civ-spouse,Prof-school,15,Self-emp-not-inc
White,54,0,Own-child,United-States,?,40,<=50K,133963,0,Female,Widowed,HS-grad,9,?
White,27,0,Not-in-family,United-States,Adm-clerical,40,<=50K,225291,0,Female,Never-married,Some-college,10,Private
Black,42,0,Unmarried,United-States,Adm-clerical,40,<=50K,455553,0,Female,Never-married,HS-grad,9,State-gov
White,39,0,Not-in-family,United-States,Protective-serv,40,<=50K,203070,0,Male,Separated,HS-grad,9,Local-gov
Asian-Pac-Islander,23,0,Own-child,United-States,Sales,40,<=50K,135138,0,Male,Never-married,Bachelors,13,Private
White,53,0,Not-in-family,United-States,Exec-managerial,70,<=50K,274528,0,Male,Divorced,Bachelors,13,Private
Black,33,0,Unmarried,United-States,Craft-repair,40,>50K,319560,0,Female,Divorced,Assoc-voc,11,Federal-gov
White,50,0,Husband,United-States,Craft-repair,40,>50K,228238,0,Male,Married-civ-spouse,HS-grad,9,Private
White,21,0,Not-in-family,United-States,Prof-specialty,20,<=50K,258490,0,Female,Never-married,Some-college,10,State-gov
White,63,0,Husband,United-States,Exec-managerial,40,<=50K,183608,0,Male,Married-civ-spouse,10th,6,Private
White,24,0,Not-in-family,United-States,Farming-fishing,40,<=50K,462820,0,Male,Never-married,Bachelors,13,Private
White,22,0,Own-child,United-States,Exec-managerial,40,<=50K,204226,0,Female,Never-married,HS-grad,9,Private
White,46,0,Wife,United-States,Adm-clerical,40,<=50K,101455,0,Female,Married-civ-spouse,HS-grad,9,Private
White,45,0,Husband,United-States,Craft-repair,60,<=50K,162923,0,Male,Married-civ-spouse,HS-grad,9,Self-emp-not-inc
White,34,0,Husband,United-States,Sales,50,<=50K,167474,0,Male,Married-civ-spouse,HS-grad,9,Private
White,38,0,Husband,United-States,Craft-repair,50,<=50K,204527,0,Male,Married-civ-spouse,HS-grad,9,Private
White,39,1977,Wife,United-States,Prof-specialty,24,>50K,134367,0,Female,Married-civ-spouse,Masters,14,Private
White,30,0,Husband,United-States,Transport-moving,75,<=50K,106742,0,Male,Married-civ-spouse,12th,8,Self-emp-not-inc
White,46,0,Husband,United-States,Prof-specialty,46,>50K,197332,7688,Male,Married-civ-spouse,Masters,14,Private
Black,50,0,Not-in-family,United-States,Sales,40,<=50K,166419,3674,Female,Never-married,11th,7,Federal-gov
White,60,0,Husband,United-States,Craft-repair,45,<=50K,123992,0,Male,Married-civ-spouse,Some-college,10,Private
White,43,0,Not-in-family,?,Prof-specialty,40,>50K,177937,0,Male,Never-married,Bachelors,13,Private
White,25,0,Own-child,United-States,Craft-repair,37,<=50K,273792,0,Male,Never-married,HS-grad,9,Private
White,23,0,Not-in-family,United-States,?,35,<=50K,148751,0,Female,Never-married,Some-college,10,?
White,39,0,Husband,United-States,Craft-repair,40,>50K,305597,0,Male,Married-civ-spouse,HS-grad,9,Private
White,25,0,Own-child,United-States,Craft-repair,40,<=50K,410240,0,Male,Never-married,HS-grad,9,Private
White,49,0,Husband,United-States,Exec-managerial,45,>50K,281647,0,Male,Married-civ-spouse,Masters,14,Private
White,51,0,Wife,United-States,Prof-specialty,40,>50K,46401,0,Female,Married-civ-spouse,Some-college,10,Self-emp-not-inc
White,38,0,Husband,United-States,Adm-clerical,40,>50K,95432,0,Male,Married-civ-spouse,HS-grad,9,Federal-gov
White,28,0,Not-in-family,United-States,Adm-clerical,20,<=50K,199903,0,Female,Never-married,Bachelors,13,Private
White,49,0,Husband,United-States,Craft-repair,60,<=50K,261688,5013,Male,Married-civ-spouse,HS-grad,9,Private
White,30,0,Own-child,United-States,?,40,<=50K,138744,0,Male,Never-married,HS-grad,9,?
White,53,0,Husband,United-States,Craft-repair,46,>50K,97005,0,Male,Married-civ-spouse,HS-grad,9,Private
White,31,0,Husband,Mexico,Craft-repair,40,<=50K,136651,0,Male,Married-civ-spouse,HS-grad,9,Private
Asian-Pac-Islander,45,1590,Not-in-family,Japan,Adm-clerical,40,<=50K,293691,0,Female,Divorced,HS-grad,9,Private
White,50,0,Husband,United-States,Craft-repair,55,<=50K,124793,0,Male,Married-civ-spouse,Some-college,10,Self-emp-not-inc
White,28,0,Not-in-family,United-States,Adm-clerical,40,<=50K,188236,0,Female,Never-married,Some-college,10,Private
White,30,0,Not-in-family,United-States,Machine-op-inspct,45,<=50K,339773,0,Male,Never-married,HS-grad,9,Private
White,52,0,Husband,United-States,Transport-moving,60,>50K,147629,0,Male,Married-civ-spouse,HS-grad,9,Private
White,48,0,Husband,United-States,Craft-repair,46,<=50K,187715,0,Male,Married-civ-spouse,HS-grad,9,Private
White,40,2444,Not-in-family,United-States,Prof-specialty,45,>50K,335549,0,Male,Never-married,Prof-school,15,Self-emp-not-inc
White,58,0,Husband,United-States,Farming-fishing,50,<=50K,49884,0,Male,Married-civ-spouse,HS-grad,9,Self-emp-not-inc
Black,28,0,Not-in-family,Jamaica,Tech-support,30,<=50K,34532,0,Male,Never-married,Bachelors,13,Private
White,45,0,Unmarried,United-States,Other-service,35,<=50K,183786,0,Female,Divorced,HS-grad,9,Private
White,23,0,Own-child,United-States,Adm-clerical,30,<=50K,303121,0,Male,Never-married,Some-college,10,Private
White,31,0,Husband,United-States,Craft-repair,50,<=50K,66815,0,Male,Married-civ-spouse,HS-grad,9,Private
White,24,0,Other-relative,Mexico,Handlers-cleaners,40,<=50K,308205,0,Male,Never-married,7th-8th,4,Private
White,30,0,Unmarried,United-States,Machine-op-inspct,20,<=50K,263150,0,Female,Divorced,HS-grad,9,Private
White,60,0,Husband,United-States,Craft-repair,42,>50K,52900,0,Male,Married-civ-spouse,HS-grad,9,Self-emp-not-inc
White,66,0,Other-relative,United-States,?,35,<=50K,222810,0,Female,Divorced,Some-college,10,?
White,76,0,Not-in-family,United-States,?,25,<=50K,164835,0,Female,Widowed,HS-grad,9,?
White,37,0,Husband,United-States,Exec-managerial,50,<=50K,199265,0,Male,Married-civ-spouse,Some-college,10,Self-emp-inc
White,65,0,Not-in-family,United-States,Adm-clerical,38,<=50K,143554,0,Female,Separated,Some-college,10,Private
White,34,0,Not-in-family,United-States,Sales,24,<=50K,441454,0,Female,Never-married,HS-grad,9,Private
White,48,0,Own-child,United-States,Handlers-cleaners,40,<=50K,189462,2176,Male,Divorced,Some-college,10,Private
White,40,0,Not-in-family,United-States,Exec-managerial,40,<=50K,74949,0,Male,Never-married,Some-college,10,Local-gov
White,28,0,Not-in-family,United-States,Transport-moving,50,<=50K,87239,0,Male,Divorced,HS-grad,9,Private
White,31,0,Not-in-family,United-States,Prof-specialty,40,<=50K,78291,0,Female,Never-married,Bachelors,13,State-gov
White,44,0,Husband,United-States,Prof-specialty,36,>50K,177937,0,Male,Married-civ-spouse,Doctorate,16,Local-gov
White,53,0,Not-in-family,United-States,Transport-moving,40,<=50K,123703,0,Male,Divorced,HS-grad,9,Private
Black,50,0,Not-in-family,United-States,Adm-clerical,37,<=50K,238187,0,Female,Divorced,Bachelors,13,State-gov
White,43,0,Unmarried,United-States,Adm-clerical,40,<=50K,182254,0,Female,Divorced,Some-college,10,State-gov
White,72,0,Husband,United-States,?,40,>50K,108796,0,Male,Married-civ-spouse,Prof-school,15,?
White,50,0,Husband,United-States,Craft-repair,45,<=50K,99307,5013,Male,Married-civ-spouse,HS-grad,9,Private
White,35,0,Husband,United-States,Craft-repair,40,<=50K,189922,0,Male,Married-civ-spouse,HS-grad,9,Private
White,32,0,Husband,United-States,Transport-moving,40,<=50K,62374,0,Male,Married-civ-spouse,Assoc-voc,11,Private
White,24,0,Own-child,United-States,Farming-fishing,40,<=50K,122272,0,Female,Never-married,Bachelors,13,Private
White,46,0,Husband,United-States,Transport-moving,40,>50K,273575,15024,Male,Married-civ-spouse,Bachelors,13,Private
White,72,0,Not-in-family,United-States,?,8,<=50K,213255,0,Female,Widowed,HS-grad,9,?
White,67,0,Not-in-family,United-States,Other-service,40,<=50K,217028,0,Female,Never-married,Masters,14,Private
